borough_id,nbhd,name,transaction_volume,property_count,average_sale_price
1,MIDTOWN WEST,Manhattan,3784,654,2506259.725422833
1,UPPER EAST SIDE (59-79),Manhattan,1903,831,2802138.9542827117
1,UPPER EAST SIDE (79-96),Manhattan,1404,802,2439779.715099715
1,UPPER WEST SIDE (59-79),Manhattan,1364,823,3023110.0014662757
1,MIDTOWN EAST,Manhattan,1165,545,2759218.8660944207
1,UPPER WEST SIDE (79-96),Manhattan,815,486,3059157.046625767
1,CHELSEA,Manhattan,680,451,4531148.711764706
1,MURRAY HILL,Manhattan,627,367,2733107.931419458
1,HARLEM-CENTRAL,Manhattan,620,541,2323698.4693548386
1,GREENWICH VILLAGE-CENTRAL,Manhattan,532,213,3280284.665413534
1,TRIBECA,Manhattan,520,510,3027382.6326923077
1,GREENWICH VILLAGE-WEST,Manhattan,504,334,4026801.418650794
1,GRAMERCY,Manhattan,401,168,2280862.034912718
1,FLATIRON,Manhattan,370,275,11681055.702702703
1,FINANCIAL,Manhattan,368,352,4340439.470108695
1,CLINTON,Manhattan,347,315,4670274.812680115
1,UPPER WEST SIDE (96-116),Manhattan,337,171,2195236.6350148367
1,WASHINGTON HEIGHTS UPPER,Manhattan,305,104,1408241.3475409837
1,LOWER EAST SIDE,Manhattan,261,122,2760003.011494253
1,KIPS BAY,Manhattan,224,158,26749340.07142857
1,MANHATTAN VALLEY,Manhattan,200,169,1810856.61
1,SOHO,Manhattan,191,156,8485640.842931937
1,EAST VILLAGE,Manhattan,164,112,3280317.5426829266
1,WASHINGTON HEIGHTS LOWER,Manhattan,158,119,3049034.5316455695
1,MIDTOWN CBD,Manhattan,158,112,14276890.632911392
1,HARLEM-UPPER,Manhattan,151,140,1890568.1390728478
1,HARLEM-EAST,Manhattan,147,129,2541624.1836734693
1,CIVIC CENTER,Manhattan,127,101,3777318.433070866
1,ALPHABET CITY,Manhattan,122,96,2144088.2622950817
1,INWOOD,Manhattan,115,53,1210150.0869565217
