borough_id,region_name,name,transaction_volume,property_count,average_sale_price
4,AIRPORT JFK,Queens,1,1,7800000
4,AIRPORT LA GUARDIA,Queens,5,5,534900
1,ALPHABET CITY,Manhattan,146,132,3408250.959
5,ANNADALE,Staten Island,157,155,657758.4204
5,ARDEN HEIGHTS,Staten Island,236,232,364344.0424
5,ARROCHAR,Staten Island,26,26,597273
5,ARROCHAR-SHORE ACRES,Staten Island,30,25,350056.7333
4,ARVERNE,Queens,191,174,524393.0157
4,ASTORIA,Queens,590,461,1380868.481
3,BATH BEACH,Brooklyn,199,171,929935.4121
2,BATHGATE, Bronx,59,54,1006262.153
3,BAY RIDGE,Brooklyn,568,402,795930.3521
2,BAYCHESTER, Bronx,277,257,557542.5884
4,BAYSIDE,Queens,843,584,643008.2859
2,BEDFORD PARK, Bronx,166,122,1550129.289
2,NORWOOD, Bronx,166,122,1550129.289
3,BEDFORD STUYVESANT,Brooklyn,904,870,1367947.923
4,BEECHHURST,Queens,135,86,577460.6519
4,BELLE HARBOR,Queens,72,65,674148.7778
4,BELLEROSE,Queens,160,156,571040.1563
2,BELMONT, Bronx,57,57,1228198.105
3,BENSONHURST,Brooklyn,349,337,1087733.135
3,BERGEN BEACH,Brooklyn,112,111,1013389.777
5,BLOOMFIELD,Staten Island,7,7,25792985.71
3,BOERUM HILL,Brooklyn,126,111,2118257.762
3,BOROUGH PARK,Brooklyn,592,580,1218009.416
4,BRIARWOOD,Queens,183,59,313392.623
3,BRIGHTON BEACH,Brooklyn,278,199,825907.2086
4,BROAD CHANNEL,Queens,44,42,285756.3864
2,BRONX PARK, Bronx,4,4,1502935
2,BRONXDALE, Bronx,200,165,748842.69
3,BROOKLYN HEIGHTS,Brooklyn,324,195,3386152.04
3,BROWNSVILLE,Brooklyn,161,150,817125.6522
5,BULLS HEAD,Staten Island,267,263,431937.8876
3,BUSH TERMINAL,Brooklyn,38,37,1894508.947
3,BUSHWICK,Brooklyn,539,513,1218233.384
4,CAMBRIA HEIGHTS,Queens,116,112,382320.2931
