borough_id,region_name,name,transaction_volume,property_count,average_sale_price,year
4,LA GUARDIA AIRPORT,Queens,2,2,776250,2018
1,ALPHABET CITY,Manhattan,112,88,3205809.179,2018
5,ANNADALE,Staten Island,128,125,752266.6172,2018
5,ARDEN HEIGHTS,Staten Island,241,233,440622.9502,2018
5,ARROCHAR,Staten Island,15,15,554193.0667,2018
5,SHORE ACRES,Staten Island,22,17,436090,2018
4,ARVERNE,Queens,150,141,452504.8467,2018
4,ASTORIA,Queens,573,464,1321616.12,2018
3,BATH BEACH,Brooklyn,193,172,925934,2018
2,BATHGATE,Bronx,66,60,1130869.894,2018
3,BAY RIDGE,Brooklyn,560,413,1242405.309,2018
2,BAYCHESTER,Bronx,317,281,496001.3628,2018
4,BAYSIDE,Queens,774,547,793283.5362,2018
2,BEDFORD PARK,Bronx,164,126,1654545.982,2018
2,NORWOOD,Bronx,164,126,1654545.982,2018
3,BEDFORD STUYVESANT,Brooklyn,820,788,1258487.289,2018
4,BEECHHURST,Queens,121,81,655758.157,2018
4,BELLE HARBOR,Queens,71,64,839537.1268,2018
4,BELLEROSE,Queens,161,155,674340.4161,2018
2,BELMONT,Bronx,41,41,2281424.195,2018
3,BENSONHURST,Brooklyn,282,269,1118810.816,2018
3,BERGEN BEACH,Brooklyn,118,116,714865.1271,2018
5,BLOOMFIELD,Staten Island,3,3,1331791.667,2018
3,BOERUM HILL,Brooklyn,141,139,2500939.397,2018
3,BOROUGH PARK,Brooklyn,554,545,1490433.46,2018
4,BREEZY POINT,Queens,86,3,452906.9767,2018
4,BRIARWOOD,Queens,161,78,477139.7019,2018
3,BRIGHTON BEACH,Brooklyn,249,175,608830.2209,2018
4,BROAD CHANNEL,Queens,39,38,294523.5641,2018
2,BRONX PARK,Bronx,3,3,1538333.333,2018
2,BRONXDALE,Bronx,245,214,596654.1388,2018
3,BROOKLYN HEIGHTS,Brooklyn,313,208,2200754.958,2018
3,BROWNSVILLE,Brooklyn,124,116,638657.4919,2018
5,BULLS HEAD,Staten Island,256,245,506189.1914,2018
3,BUSH TERMINAL,Brooklyn,18,18,1831068.611,2018
3,BUSHWICK,Brooklyn,385,370,1183529.145,2018
4,CAMBRIA HEIGHTS,Queens,120,110,461968.35,2018
3,CANARSIE,Brooklyn,528,499,532192.5663,2018
3,CARROLL GARDENS,Brooklyn,124,115,2102286.065,2018
2,CASTLE HILL,Bronx,124,115,655429.0161,2018
2,UNIONPORT,Bronx,124,115,655429.0161,2018
5,CASTLETON CORNERS,Staten Island,96,96,599265.1875,2018
1,CHELSEA,Manhattan,521,370,9716237.334,2018
1,CHINATOWN,Manhattan,86,80,3586296.814,2018
2,CITY ISLAND,Bronx,66,64,513568.0303,2018
1,CIVIC CENTER,Manhattan,113,97,4824479.221,2018
1,CLINTON,Manhattan,222,180,3328791.167,2018
3,CLINTON HILL,Brooklyn,222,158,1343126.671,2018
5,CLOVE LAKES,Staten Island,50,38,549869.56,2018
2,CO-OP CITY,Bronx,4,3,4113250,2018
3,COBBLE HILL,Brooklyn,90,81,2470886.578,2018
3,COBBLE HILL-WEST,Brooklyn,49,48,1322235.163,2018
4,COLLEGE POINT,Queens,260,257,1116938.508,2018
5,CONCORD,Staten Island,78,72,364132.8462,2018
5,CONCORD-FOX HILLS,Staten Island,29,28,383797.931,2018
3,CONEY ISLAND,Brooklyn,197,109,1065760.168,2018
4,CORONA,Queens,394,298,850533.6244,2018
2,COUNTRY CLUB,Bronx,143,133,541261.7622,2018
2,CROTONA PARK,Bronx,41,39,1000522.854,2018
3,CROWN HEIGHTS,Brooklyn,472,433,1686921.674,2018
3,CYPRESS HILLS,Brooklyn,204,196,722641.4608,2018
5,DONGAN HILLS,Staten Island,55,52,626553.4545,2018
5,DONGAN HILLS-COLONY,Staten Island,43,43,822374.907,2018
5,DONGAN HILLS-OLD TOWN,Staten Island,1,1,7200000,2018
4,DOUGLASTON,Queens,163,105,667028.8221,2018
3,DOWNTOWN-FULTON FERRY,Brooklyn,92,88,2937680.826,2018
3,DOWNTOWN-FULTON MALL,Brooklyn,142,119,1636304.782,2018
3,DOWNTOWN-METROTECH,Brooklyn,89,55,3411152.539,2018
3,DYKER HEIGHTS,Brooklyn,163,161,1165105.81,2018
4,EAST ELMHURST,Queens,147,136,783161.6599,2018
3,EAST NEW YORK,Brooklyn,645,599,689742.1023,2018
2,EAST TREMONT,Bronx,125,111,1461219.552,2018
1,EAST VILLAGE,Manhattan,202,166,2759407.802,2018
4,ELMHURST,Queens,467,391,1293872.833,2018
5,ELTINGVILLE,Staten Island,288,280,613991.7639,2018
