Neighborhood_ID,Neighborhood,Crime_Rate,Year
271,Concourse Village,15303,2009
107,Manhattanville,11073,2009
48,Bensonhurst,8707,2009
169,Rochdale,16511,2009
71,Park Slope,5232,2009
117,Midtown,24662,2009
298,Highland Park,5503,2009
109,East Harlem,37007,2009
20,High  Bridge,17306,2009
279,Flatiron,20766,2009
74,Starrett City,5089,2009
63,Bushwick,23780,2009
53,Sheepshead Bay,5123,2009
19,West Farms,12653,2009
208,Port Richmond,4142,2009
116,Clinton,18450,2009
251,Noho,10257,2009
85,Clinton Hill,6937,2009
108,Central Harlem,33971,2009
155,Auburndale,3668,2009
146,Ridgewood,14515,2009
183,Murray Hill,3884,2009
64,Bedford Stuyvesant,26386,2009
263,New Lots,14983,2009
49,Sunset Park,17078,2009
21,Melrose,12034,2009
181,Seaside,3796,2009
46,Edenwald,6033,2009
191,Laurelton,3049,2009
148,Rego Park,4463,2009
140,Richmond Hill,11185,2009
141,Downtown Flushing,11359,2009
80,Bath Beach,7234,2009
90,Ocean Hill,15882,2009
273,Mount Hope,15343,2009
253,Midtown South,30561,2009
154,Bayside,4664,2009
84,Marine Park,3429,2009
18,East Tremont,14323,2009
131,Financial District,8661,2009
133,Woodside,8821,2009
283,Vinegar Hill,1442,2009
17,Fordham,25137,2009
35,Belmont,10409,2009
110,Upper East Side,3842,2009
95,Georgetown,2887,2009
24,Longwood,10413,2009
81,Borough Park,8802,2009
27,Soundview,18183,2009
209,Mariner's Harbor,1303,2009
47,Bay Ridge,8550,2009
190,Lindenwood,2857,2009
10,Williamsbridge,8063,2009
94,Prospect Park South,9980,2009
232,Grasmere,1094,2009
106,Hamilton Heights,24373,2009
73,East New York,12087,2009
114,Upper West Side,11247,2009
250,Carnegie Hill,7130,2009
192,Lefrak City,7717,2009
14,Bedford Park,10014,2009
112,Lenox Hill,5139,2009
45,Unionport,5648,2009
58,Kensington,5442,2009
289,Sandy Ground,900,2009
113,Roosevelt Island,1692,2009
26,Morrisania,12505,2009
51,Gravesend,6775,2009
97,East Williamsburg,15181,2009
204,West Brighton,2786,2009
91,City Line,9076,2009
93,Midwood,5892,2009
75,Canarsie,8633,2009
56,Crown Heights,12462,2009
225,Wingate,8465,2009
104,Washington Heights,17358,2009
185,Holliswood,2180,2009
281,Blissville,2235,2009
234,Dongan Hills,1503,2009
115,Lincoln Square,14689,2009
22,Mott Haven,19739,2009
163,Jamaica Center,9822,2009
268,Pomonok,4270,2009
128,Morningside Heights,10114,2009
162,Briarwood,5094,2009
145,Maspeth,3992,2009
42,Olinville,9471,2009
132,Astoria,9426,2009
89,Prospect Lefferts Gardens,16666,2009
3,Eastchester,2136,2009
167,South Jamaica,12397,2009
292,Homecrest,5408,2009
160,Kew Gardens Hills,3120,2009
87,Downtown,7654,2009
226,Rugby,8655,2009
38,Pelham Bay,1772,2009
246,Heartland Village,4027,2009
5,Riverdale,874,2009
197,Bellaire,3029,2009
270,Claremont Village,12781,2009
262,Remsen Village,7245,2009
127,Manhattan Valley,13195,2009
276,Turtle Bay,4028,2009
125,Soho,7305,2009
111,Yorkville,4713,2009
151,South Ozone Park,8709,2009
43,Pelham Gardens,3185,2009
152,College Point,3352,2009
147,Glendale,3625,2009
285,Broadway Junction,9169,2009
272,Mount Eden,8051,2009
9,Norwood,9676,2009
153,Whitestone,2577,2009
61,Brownsville,24483,2009
142,Long Island City,4489,2009
124,Little Italy,4626,2009
120,Greenwich Village,10317,2009
1,Wakefield,5864,2009
199,Forest Hills Gardens,2469,2009
77,Mill Island,793,2009
2,Co-op City,5014,2009
284,Weeksville,17902,2009
55,Flatbush,8390,2009
293,Middle Village,2642,2009
261,Elm Park,1945,2009
31,Parkchester,8062,2009
86,Sea Gate,2634,2009
69,Gowanus,4646,2009
88,Boerum Hill,7414,2009
12,Pelham Parkway,6681,2009
7,Marble Hill,6379,2009
44,Concourse,17617,2009
172,Rosedale,2515,2009
70,Fort Greene,5679,2009
11,Baychester,3074,2009
245,Greenridge,1001,2009
221,Tompkinsville,2481,2009
171,Cambria Heights,3687,2009
16,Morris Heights,7115,2009
60,Prospect Heights,11306,2009
265,Mill Basin,3511,2009
150,Ozone Park,9370,2009
126,West Village,14333,2009
105,Inwood,8746,2009
72,Cypress Hills,5857,2009
135,Elmhurst,10109,2009
79,Coney Island,6538,2009
254,Richmond Town,771,2009
176,Steinway,2879,2009
180,Arverne,1868,2009
274,Sutton Place,10650,2009
138,Forest Hills,3377,2009
173,Far Rockaway,8808,2009
52,Brighton Beach,8956,2009
149,Woodhaven,6902,2009
137,South Corona,3936,2009
39,Schuylerville,4502,2009
216,Great Kills,2114,2009
34,Morris Park,2164,2009
121,East Village,9782,2009
170,Springfield Gardens,3976,2009
294,Prince's Bay,881,2009
32,Westchester Square,3788,2009
161,Fresh Meadows,2347,2009
233,Old Town,977,2009
229,Graniteville,2071,2009
198,North Corona,8413,2009
264,Paerdegat Basin,3000,2009
224,Ditmas Park,5980,2009
68,Red Hook,2697,2009
247,Chelsea,268,2009
201,New Brighton,2462,2009
15,University Heights,11667,2009
275,Hunters Point,2673,2009
244,Arden Heights,1481,2009
189,Ravenswood,7408,2009
82,Dyker Heights,4605,2009
129,Gramercy,11214,2009
165,Queens Village,4362,2009
218,Annadale,702,2009
228,Westerleigh,1422,2009
166,Hollis,5475,2009
134,Jackson Heights,11868,2009
50,Greenpoint,5261,2009
76,Flatlands,7465,2009
186,Jamaica Estates,2913,2009
41,Castle Hill,4138,2009
287,Manor Heights,642,2009
101,Ocean Parkway,6063,2009
195,Somerville,1584,2009
54,Manhattan Terrace,3282,2009
256,Clifton,969,2009
217,Eltingville,1742,2009
280,Sunnyside Gardens,7136,2009
83,Gerritsen Beach,3511,2009
33,Van Nest,7015,2009
37,North Riverdale,1496,2009
196,Brookville,1358,2009
59,Windsor Terrace,3498,2009
277,Tudor City,3511,2009
6,Kingsbridge,6849,2009
297,Malba,811,2009
205,Grymes Hill,1975,2009
259,Randall Manor,887,2009
144,East Elmhurst,5554,2009
255,Shore Acres,755,2009
8,Woodlawn,2701,2009
182,Neponsit,109,2009
40,Edgewater Park,1207,2009
103,Chinatown,7386,2009
230,Arlington,2507,2009
278,Stuyvesant Town,1757,2009
203,Rosebank,611,2009
98,North Side,5359,2009
57,East Flatbush,6835,2009
168,St. Albans,5441,2009
164,Oakland Gardens,2693,2009
96,Spring Creek,3287,2009
29,Throgs Neck,1226,2009
62,Williamsburg,6626,2009
30,Country Club,1933,2009
122,Lower East Side,10496,2009
177,Beechhurst,1338,2009
200,St. George,3113,2009
299,Madison,3467,2009
286,Dumbo,1356,2009
36,Spuyten Duyvil,1127,2009
243,Rossville,960,2009
249,Bulls Head,1715,2009
193,Belle Harbor,263,2009
266,Jamaica Hills,3417,2009
258,Emerson Hill,416,2009
214,New Dorp,1478,2009
175,Breezy Point,188,2009
99,South Side,3345,2009
65,Brooklyn Heights,3078,2009
220,Tottenville,1389,2009
231,Arrochar,1079,2009
158,Glen Oaks,1482,2009
78,Manhattan Beach,948,2009
25,Hunts Point,4911,2009
139,Kew Gardens,2471,2009
227,Park Hill,2176,2009
236,Grant City,2427,2009
157,Douglaston,1027,2009
252,Civic Center,4778,2009
260,Howland Hook,35,2009
239,Huguenot,817,2009
267,Utopia,857,2009
187,Queensboro Hill,3369,2009
211,Castleton Corners,963,2009
210,Port Ivory,739,2009
194,Rockaway Park,1180,2009
202,Stapleton,1865,2009
269,Astoria Heights,2205,2009
100,Navy Yard,1262,2009
241,Butler Manor,414,2009
288,Willowbrook,1215,2009
66,Cobble Hill,2350,2009
136,Howard Beach,1201,2009
123,Tribeca,2316,2009
235,Midland Beach,947,2009
67,Carroll Gardens,2456,2009
156,Little Neck,480,2009
296,Richmond Valley,323,2009
179,Edgemere,2324,2009
240,Pleasant Plains,444,2009
159,Bellerose,1264,2009
215,Oakwood,791,2009
