Neighborhood_ID,Neighborhood,Crime_Rate
117,Midtown,22450.0
181,Seaside,4113.0
209,Mariner's Harbor,1304.0
63,Bushwick,23411.0
49,Sunset Park,17495.0
111,Yorkville,4644.0
34,Morris Park,2315.0
100,Navy Yard,1791.0
168,St. Albans,5744.0
90,Ocean Hill,15128.0
151,South Ozone Park,8722.0
44,Concourse,16209.0
208,Port Richmond,4852.0
185,Holliswood,1825.0
284,Weeksville,20260.0
82,Dyker Heights,4268.0
253,Midtown South,26377.0
263,New Lots,15664.0
189,Ravenswood,7905.0
85,Clinton Hill,7926.0
58,Kensington,4705.0
6,Kingsbridge,5862.0
98,North Side,7420.0
262,Remsen Village,7503.0
225,Wingate,8615.0
275,Hunters Point,3014.0
45,Unionport,4447.0
14,Bedford Park,9314.0
150,Ozone Park,9671.0
51,Gravesend,6613.0
108,Central Harlem,30217.0
169,Rochdale,15888.0
17,Fordham,23847.0
19,West Farms,11464.0
122,Lower East Side,9234.0
141,Downtown Flushing,11885.0
24,Longwood,11513.0
21,Melrose,13457.0
71,Park Slope,4723.0
88,Boerum Hill,7533.0
272,Mount Eden,7184.0
127,Manhattan Valley,11997.0
18,East Tremont,13394.0
115,Lincoln Square,14990.0
26,Morrisania,12424.0
271,Concourse Village,14838.0
57,East Flatbush,7751.0
70,Fort Greene,5888.0
221,Tompkinsville,2176.0
112,Lenox Hill,5050.0
298,Highland Park,5713.0
107,Manhattanville,9828.0
89,Prospect Lefferts Gardens,15963.0
94,Prospect Park South,9021.0
140,Richmond Hill,10993.0
162,Briarwood,4710.0
273,Mount Hope,13975.0
37,North Riverdale,1177.0
64,Bedford Stuyvesant,24217.0
9,Norwood,9762.0
197,Bellaire,2831.0
173,Far Rockaway,10929.0
270,Claremont Village,13030.0
22,Mott Haven,18072.0
41,Castle Hill,3797.0
60,Prospect Heights,11607.0
81,Borough Park,8045.0
250,Carnegie Hill,6996.0
274,Sutton Place,10816.0
46,Edenwald,6187.0
134,Jackson Heights,13423.0
163,Jamaica Center,12340.0
269,Astoria Heights,2817.0
25,Hunts Point,7973.0
27,Soundview,15536.0
15,University Heights,9580.0
47,Bay Ridge,7538.0
61,Brownsville,21327.0
170,Springfield Gardens,4191.0
54,Manhattan Terrace,2845.0
136,Howard Beach,1451.0
133,Woodside,8391.0
183,Murray Hill,3697.0
280,Sunnyside Gardens,6986.0
255,Shore Acres,595.0
114,Upper West Side,9747.0
128,Morningside Heights,7661.0
158,Glen Oaks,1425.0
226,Rugby,9639.0
148,Rego Park,4268.0
31,Parkchester,6498.0
172,Rosedale,2328.0
110,Upper East Side,3752.0
109,East Harlem,35827.0
131,Financial District,7091.0
106,Hamilton Heights,19351.0
56,Crown Heights,12117.0
155,Auburndale,2728.0
132,Astoria,10858.0
204,West Brighton,2779.0
76,Flatlands,7113.0
62,Williamsburg,6578.0
20,High  Bridge,14399.0
42,Olinville,8927.0
259,Randall Manor,702.0
50,Greenpoint,5582.0
195,Somerville,1719.0
256,Clifton,999.0
192,Lefrak City,8131.0
279,Flatiron,17589.0
7,Marble Hill,6220.0
79,Coney Island,7527.0
