,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,NEIGHBORHOOD,Crime_Index
2,4290.0,1970.0,5500000,CHELSEA,0.02
3,3072.0,1910.0,7500000,CHELSEA,0.02
4,3600.0,1901.0,6350000,CHELSEA,0.02
5,2776.0,1901.0,4650000,CHELSEA,0.02
6,10000.0,1900.0,7400000,EAST VILLAGE,10.0
7,6560.0,1920.0,14250000,GRAMERCY,3.233
8,5484.0,1915.0,9900000,GRAMERCY,3.233
44,3700.0,1900.0,4607000,LITTLE ITALY,10.0
45,8069.0,1900.0,21000000,LITTLE ITALY,10.0
51,4125.0,1910.0,4400000,MURRAY HILL,0.02
52,2427.0,1915.0,4800000,MURRAY HILL,0.02
53,3554.0,1920.0,4995000,MURRAY HILL,0.02
54,3096.0,1899.0,7200000,SOHO,0.02
55,6250.0,1999.0,10500000,TRIBECA,10.0
56,5000.0,1899.0,5500000,TRIBECA,10.0
57,3442.0,1915.0,7000000,TRIBECA,10.0
108,1732.0,1945.0,330000,BAYCHESTER,3.265
109,1690.0,1950.0,500000,BAYCHESTER,3.265
110,1690.0,1950.0,280000,BAYCHESTER,3.265
111,1648.0,1950.0,465000,BAYCHESTER,3.265
112,1648.0,1950.0,308000,BAYCHESTER,3.265
113,1530.0,1915.0,313326,BAYCHESTER,3.265
114,1764.0,1915.0,624523,BAYCHESTER,3.265
115,1254.0,1940.0,475000,BAYCHESTER,3.265
116,1254.0,1940.0,417000,BAYCHESTER,3.265
117,1738.0,1940.0,180000,BAYCHESTER,3.265
118,1782.0,1955.0,461000,BAYCHESTER,3.265
119,1920.0,1930.0,475000,BAYCHESTER,3.265
120,1620.0,1930.0,300000,BAYCHESTER,3.265
121,1620.0,1930.0,465000,BAYCHESTER,3.265
122,1585.0,1935.0,393000,BAYCHESTER,3.265
123,1585.0,1935.0,345163,BAYCHESTER,3.265
124,1440.0,1940.0,490000,BAYCHESTER,3.265
125,1260.0,1950.0,440000,BAYCHESTER,3.265
126,1260.0,1950.0,245000,BAYCHESTER,3.265
127,1260.0,1950.0,462500,BAYCHESTER,3.265
128,1280.0,1920.0,455000,BAYCHESTER,3.265
129,1280.0,1920.0,201000,BAYCHESTER,3.265
130,1782.0,1950.0,465000,BAYCHESTER,3.265
131,1863.0,1950.0,515000,BAYCHESTER,3.265
132,1320.0,1930.0,430000,BAYCHESTER,3.265
133,1332.0,1920.0,545000,BAYCHESTER,3.265
134,1432.0,1970.0,220000,BAYCHESTER,3.265
135,1432.0,1970.0,270000,BAYCHESTER,3.265
136,1258.0,1965.0,460000,BAYCHESTER,3.265
137,1714.0,1955.0,490000,BAYCHESTER,3.265
138,1188.0,1955.0,457500,BAYCHESTER,3.265
139,1539.0,1950.0,450000,BAYCHESTER,3.265
140,1539.0,1950.0,257000,BAYCHESTER,3.265
141,1539.0,1950.0,487500,BAYCHESTER,3.265
142,948.0,1960.0,449000,BAYCHESTER,3.265
143,948.0,1960.0,435000,BAYCHESTER,3.265
144,948.0,1960.0,435000,BAYCHESTER,3.265
145,1069.0,1920.0,380000,BAYCHESTER,3.265
146,3468.0,1920.0,406282,BAYCHESTER,3.265
147,1602.0,1935.0,420000,BAYCHESTER,3.265
148,1612.0,1931.0,385000,BAYCHESTER,3.265
149,1612.0,1931.0,270000,BAYCHESTER,3.265
150,1080.0,1960.0,250000,BAYCHESTER,3.265
151,1690.0,1955.0,354900,BAYCHESTER,3.265
152,1890.0,1955.0,405000,BAYCHESTER,3.265
153,1690.0,1950.0,525000,BAYCHESTER,3.265
154,1260.0,1950.0,435000,BAYCHESTER,3.265
155,1340.0,1940.0,664726,BAYCHESTER,3.265
156,1260.0,1960.0,465000,BAYCHESTER,3.265
157,1260.0,1960.0,515000,BAYCHESTER,3.265
158,1674.0,1955.0,468000,BAYCHESTER,3.265
159,1920.0,1955.0,535000,BAYCHESTER,3.265
160,1920.0,1955.0,267000,BAYCHESTER,3.265
161,1920.0,1955.0,495000,BAYCHESTER,3.265
162,1100.0,1930.0,340000,BAYCHESTER,3.265
163,1380.0,1935.0,340000,BAYCHESTER,3.265
164,855.0,1910.0,280000,BAYCHESTER,3.265
165,1367.0,1935.0,519000,BAYCHESTER,3.265
166,1140.0,1901.0,360000,BAYCHESTER,3.265
167,865.0,1930.0,445000,BAYCHESTER,3.265
168,2310.0,1935.0,335000,BAYCHESTER,3.265
169,1088.0,1955.0,435000,BAYCHESTER,3.265
170,1538.0,1930.0,525000,BAYCHESTER,3.265
171,1339.0,1930.0,380000,BAYCHESTER,3.265
172,1921.0,1915.0,480000,BAYCHESTER,3.265
173,924.0,1920.0,248000,BAYCHESTER,3.265
174,924.0,1920.0,445000,BAYCHESTER,3.265
175,960.0,1950.0,383500,BAYCHESTER,3.265
176,960.0,1955.0,140000,BAYCHESTER,3.265
177,960.0,1955.0,320000,BAYCHESTER,3.265
178,960.0,1955.0,423000,BAYCHESTER,3.265
179,960.0,1955.0,150000,BAYCHESTER,3.265
180,1534.0,1955.0,210000,BAYCHESTER,3.265
181,1534.0,1955.0,500000,BAYCHESTER,3.265
182,1080.0,1925.0,485000,BAYCHESTER,3.265
183,1280.0,1950.0,315000,BAYCHESTER,3.265
184,1280.0,1950.0,385000,BAYCHESTER,3.265
185,1800.0,1940.0,262000,BAYCHESTER,3.265
186,1584.0,1970.0,250000,BAYCHESTER,3.265
187,1384.0,1961.0,250000,BAYCHESTER,3.265
188,920.0,1940.0,355000,BAYCHESTER,3.265
189,1744.0,1964.0,460000,BAYCHESTER,3.265
190,1546.0,1930.0,419500,BAYCHESTER,3.265
191,1188.0,1941.0,400000,BAYCHESTER,3.265
192,1268.0,1955.0,295000,BAYCHESTER,3.265
193,1860.0,1960.0,480000,BAYCHESTER,3.265
194,1872.0,1957.0,230000,BAYCHESTER,3.265
195,1192.0,1963.0,370000,BAYCHESTER,3.265
196,1800.0,1956.0,435000,BAYCHESTER,3.265
197,1248.0,1925.0,400000,BAYCHESTER,3.265
198,1411.0,1930.0,705500,BAYCHESTER,3.265
199,1136.0,1930.0,335000,BAYCHESTER,3.265
200,1028.0,1935.0,285000,BAYCHESTER,3.265
201,1084.0,1930.0,390000,BAYCHESTER,3.265
202,1372.0,1925.0,455000,BAYCHESTER,3.265
203,1364.0,1925.0,220000,BAYCHESTER,3.265
204,1364.0,1925.0,485000,BAYCHESTER,3.265
205,1364.0,1925.0,250000,BAYCHESTER,3.265
206,1184.0,1930.0,460000,BAYCHESTER,3.265
207,1246.0,1925.0,420000,BAYCHESTER,3.265
208,1088.0,1925.0,220000,BAYCHESTER,3.265
209,1714.0,1959.0,409587,BAYCHESTER,3.265
210,1116.0,1959.0,320000,BAYCHESTER,3.265
211,1116.0,1959.0,449000,BAYCHESTER,3.265
212,1912.0,1959.0,470000,BAYCHESTER,3.265
213,1654.0,1920.0,419000,BAYCHESTER,3.265
214,1665.0,1910.0,473500,BAYCHESTER,3.265
215,1512.0,1939.0,500000,BAYCHESTER,3.265
216,600.0,1925.0,290000,BAYCHESTER,3.265
217,1442.0,1925.0,475000,BAYCHESTER,3.265
218,1728.0,1950.0,405500,BAYCHESTER,3.265
219,1152.0,1940.0,420000,BAYCHESTER,3.265
220,1152.0,1940.0,276300,BAYCHESTER,3.265
221,1152.0,1940.0,306000,BAYCHESTER,3.265
222,1260.0,1950.0,316000,BAYCHESTER,3.265
223,1438.0,1920.0,470000,BAYCHESTER,3.265
224,1798.0,1955.0,597190,BAYCHESTER,3.265
225,1920.0,1955.0,330000,BAYCHESTER,3.265
226,1140.0,1935.0,485000,BAYCHESTER,3.265
227,1422.0,1932.0,510000,BAYCHESTER,3.265
228,2202.0,1930.0,560000,BAYCHESTER,3.265
229,1653.0,1925.0,499000,BAYCHESTER,3.265
230,1653.0,1925.0,310000,BAYCHESTER,3.265
231,1859.0,1925.0,465000,BAYCHESTER,3.265
232,1140.0,1915.0,330000,BAYCHESTER,3.265
233,544.0,1915.0,680000,BAYCHESTER,3.265
234,1540.0,1920.0,438375,BAYCHESTER,3.265
235,352.0,1910.0,150000,BAYCHESTER,3.265
236,1767.0,1959.0,445000,BAYCHESTER,3.265
237,1712.0,1955.0,515000,BAYCHESTER,3.265
238,1712.0,1955.0,304500,BAYCHESTER,3.265
239,1301.0,1935.0,295000,BAYCHESTER,3.265
240,1219.0,1955.0,450000,BAYCHESTER,3.265
241,1250.0,1925.0,475000,BAYCHESTER,3.265
242,1250.0,1940.0,175500,BAYCHESTER,3.265
258,780.0,1931.0,265000,BELMONT,0.02
365,1400.0,1960.0,487500,CITY ISLAND,4.1819999999999995
366,1600.0,1925.0,292500,CITY ISLAND,4.1819999999999995
367,1920.0,1988.0,650000,CITY ISLAND,4.1819999999999995
368,1074.0,1925.0,450000,CITY ISLAND,4.1819999999999995
369,2378.0,1925.0,560000,CITY ISLAND,4.1819999999999995
370,1080.0,1925.0,471000,CITY ISLAND,4.1819999999999995
371,703.0,1930.0,373000,CITY ISLAND,4.1819999999999995
372,800.0,1930.0,377000,CITY ISLAND,4.1819999999999995
373,1458.0,1955.0,600000,CITY ISLAND,4.1819999999999995
374,562.0,1920.0,320000,CITY ISLAND,4.1819999999999995
375,2800.0,1965.0,720000,CITY ISLAND,4.1819999999999995
376,1782.0,1965.0,449000,CITY ISLAND,4.1819999999999995
377,1836.0,1965.0,575000,CITY ISLAND,4.1819999999999995
378,675.0,1920.0,230000,CITY ISLAND,4.1819999999999995
379,761.0,1940.0,375000,CITY ISLAND,4.1819999999999995
